2026-03-25 15:07:33 | Clase: GRANDE  | Estado: ABOLLADA (DOMO) | H_Max: 16.80cm | D:-0.31 | STD: 0.15 | A0:15.56 | A3:15.25
2026-03-25 15:07:37 | Clase: MEDIANA | Estado: NORMAL          | H_Max: 11.72cm | D: 0.09 | STD: 0.10 | A0:10.42 | A3:10.51
2026-03-25 15:07:41 | Clase: CHICA   | Estado: ABOLLADA (SALTO) | H_Max:  2.70cm | D:-0.56 | STD: 0.26 | A0: 2.20 | A3: 1.63
2026-03-25 15:07:44 | Clase: GRANDE  | Estado: NORMAL          | H_Max: 16.10cm | D: 0.31 | STD: 0.13 | A0:14.91 | A3:15.22
2026-03-25 15:07:48 | Clase: MEDIANA | Estado: NORMAL          | H_Max: 11.70cm | D:-0.07 | STD: 0.05 | A0:10.61 | A3:10.54
2026-03-25 15:07:53 | Clase: CHICA   | Estado: ABOLLADA (SALTO) | H_Max:  3.10cm | D:-0.47 | STD: 0.23 | A0: 2.16 | A3: 1.69
2026-03-25 15:07:57 | Clase: GRANDE  | Estado: NORMAL          | H_Max: 16.42cm | D: 0.22 | STD: 0.14 | A0:15.08 | A3:15.30
2026-03-25 15:08:01 | Clase: CHICA   | Estado: ABOLLADA (SALTO) | H_Max:  3.30cm | D:-0.59 | STD: 0.24 | A0: 2.34 | A3: 1.75
2026-03-25 15:08:36 | Clase: GRANDE  | Estado: ABOLLADA (DOMO) | H_Max: 17.40cm | D:-0.40 | STD: 0.21 | A0:15.65 | A3:15.25
2026-03-25 15:08:43 | Clase: MEDIANA | Estado: NORMAL          | H_Max: 11.50cm | D: 0.02 | STD: 0.06 | A0:10.54 | A3:10.56
2026-03-25 15:08:50 | Clase: CHICA   | Estado: ABOLLADA (SALTO) | H_Max:  2.90cm | D:-0.30 | STD: 0.22 | A0: 2.01 | A3: 1.71
2026-03-25 15:08:56 | Clase: GRANDE  | Estado: NORMAL          | H_Max: 16.10cm | D:-0.08 | STD: 0.04 | A0:15.29 | A3:15.21
2026-03-25 15:09:03 | Clase: MEDIANA | Estado: NORMAL          | H_Max: 11.90cm | D:-0.03 | STD: 0.11 | A0:10.61 | A3:10.58
2026-03-25 15:09:10 | Clase: CHICA   | Estado: ABOLLADA (SALTO) | H_Max:  2.90cm | D:-0.47 | STD: 0.23 | A0: 2.17 | A3: 1.70
2026-03-25 15:09:17 | Clase: GRANDE  | Estado: ABOLLADA (DOMO) | H_Max: 16.70cm | D:-0.26 | STD: 0.17 | A0:15.49 | A3:15.22
2026-03-25 15:09:24 | Clase: MEDIANA | Estado: NORMAL          | H_Max: 12.02cm | D: 0.00 | STD: 0.08 | A0:10.75 | A3:10.75
2026-03-25 15:09:31 | Clase: CHICA   | Estado: ABOLLADA (SALTO) | H_Max:  3.10cm | D:-0.57 | STD: 0.24 | A0: 2.30 | A3: 1.73
