2026-03-25 11:41:14 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 168.0mm | Borde: 152.4mm | Centro: 159.0mm | Delta: 6.6mm | Ratio: 0.907 | Score: 0.378
2026-03-25 11:41:21 | Clase: MEDIANA | Estado: DUDA | H_Max: 113.0mm | Borde: 105.0mm | Centro: 104.0mm | Delta: 1.0mm | Ratio: 0.930 | Score: 0.088
2026-03-25 11:41:27 | Clase: CHICA | Estado: ABOLLADA | H_Max: 26.0mm | Borde: 20.3mm | Centro: 20.4mm | Delta: 0.1mm | Ratio: 0.780 | Score: 0.117
2026-03-25 11:41:34 | Clase: GRANDE | Estado: DUDA | H_Max: 159.0mm | Borde: 152.3mm | Centro: 156.4mm | Delta: 4.1mm | Ratio: 0.958 | Score: 0.226
2026-03-25 11:41:41 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 114.0mm | Borde: 104.5mm | Centro: 108.5mm | Delta: 4.0mm | Ratio: 0.917 | Score: 0.242
2026-03-25 11:41:48 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 22.2mm | Centro: 21.6mm | Delta: 0.6mm | Ratio: 0.792 | Score: 0.135
2026-03-25 11:41:54 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 165.0mm | Borde: 152.6mm | Centro: 159.9mm | Delta: 7.3mm | Ratio: 0.925 | Score: 0.403
2026-03-25 11:42:08 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 20.0mm | Centro: 23.0mm | Delta: 3.0mm | Ratio: 0.714 | Score: 0.293
2026-03-25 11:42:19 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 168.0mm | Borde: 152.4mm | Centro: 159.0mm | Delta: 6.6mm | Ratio: 0.907 | Score: 0.378
2026-03-25 11:42:25 | Clase: MEDIANA | Estado: DUDA | H_Max: 113.0mm | Borde: 105.0mm | Centro: 104.0mm | Delta: 1.0mm | Ratio: 0.930 | Score: 0.088
2026-03-25 11:42:32 | Clase: CHICA | Estado: ABOLLADA | H_Max: 26.0mm | Borde: 20.3mm | Centro: 20.4mm | Delta: 0.1mm | Ratio: 0.780 | Score: 0.117
2026-03-25 11:42:39 | Clase: GRANDE | Estado: DUDA | H_Max: 159.0mm | Borde: 152.3mm | Centro: 156.4mm | Delta: 4.1mm | Ratio: 0.958 | Score: 0.226
2026-03-25 11:42:46 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 114.0mm | Borde: 104.5mm | Centro: 108.5mm | Delta: 4.0mm | Ratio: 0.917 | Score: 0.242
2026-03-25 11:42:53 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 22.2mm | Centro: 21.6mm | Delta: 0.6mm | Ratio: 0.792 | Score: 0.135
2026-03-25 11:42:59 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 165.0mm | Borde: 152.6mm | Centro: 159.9mm | Delta: 7.3mm | Ratio: 0.925 | Score: 0.403
2026-03-25 11:43:13 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 20.0mm | Centro: 23.0mm | Delta: 3.0mm | Ratio: 0.714 | Score: 0.293
2026-03-25 11:43:23 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 168.0mm | Borde: 152.4mm | Centro: 159.0mm | Delta: 6.6mm | Ratio: 0.907 | Score: 0.378
2026-03-25 11:43:30 | Clase: MEDIANA | Estado: DUDA | H_Max: 113.0mm | Borde: 105.0mm | Centro: 104.0mm | Delta: 1.0mm | Ratio: 0.930 | Score: 0.088
2026-03-25 11:43:37 | Clase: CHICA | Estado: ABOLLADA | H_Max: 26.0mm | Borde: 20.3mm | Centro: 20.4mm | Delta: 0.1mm | Ratio: 0.780 | Score: 0.117
