2026-03-25 13:49:25 | GRANDE  | ABOLLADA  | H:16.40 | D:-0.49 | V: 61.89 | A0:15.77 | A1:15.54 | A2:15.48 | A3:15.29
2026-03-25 13:49:29 | MEDIANA | ABOLLADA  | H:11.22 | D: 0.19 | V: 65.30 | A0:10.35 | A1:10.50 | A2:10.68 | A3:10.54
2026-03-25 13:49:33 | CHICA   | ABOLLADA  | H: 2.50 | D:-0.61 | V: 44.01 | A0: 2.33 | A1: 2.31 | A2: 2.18 | A3: 1.73
2026-03-25 13:49:37 | GRANDE  | ABOLLADA  | H:15.50 | D: 0.23 | V: 80.64 | A0:14.99 | A1:15.15 | A2:15.14 | A3:15.22
2026-03-25 13:49:41 | MEDIANA | ABOLLADA  | H:11.00 | D:-0.01 | V: 64.44 | A0:10.58 | A1:10.56 | A2:10.61 | A3:10.57
2026-03-25 13:49:45 | CHICA   | ABOLLADA  | H: 2.80 | D:-0.51 | V: 64.82 | A0: 2.29 | A1: 2.28 | A2: 2.05 | A3: 1.78
2026-03-25 13:49:49 | GRANDE  | ABOLLADA  | H:15.80 | D:-0.04 | V: 62.12 | A0:15.37 | A1:15.26 | A2:15.40 | A3:15.33
2026-03-25 13:49:53 | CHICA   | ABOLLADA  | H: 2.60 | D:-0.63 | V: 15.81 | A0: 2.20 | A1: 2.09 | A2: 1.96 | A3: 1.58
2026-03-25 13:50:19 | GRANDE  | ABOLLADA  | H:16.70 | D:-0.54 | V: 39.35 | A0:15.97 | A1:15.61 | A2:15.53 | A3:15.42
2026-03-25 13:50:26 | MEDIANA | ABOLLADA  | H:10.90 | D: 0.06 | V: 40.33 | A0:10.45 | A1:10.61 | A2:10.65 | A3:10.51
2026-03-25 13:50:33 | CHICA   | ABOLLADA  | H: 2.70 | D:-0.33 | V: 42.26 | A0: 2.00 | A1: 2.23 | A2: 2.27 | A3: 1.67
2026-03-25 13:50:39 | GRANDE  | ABOLLADA  | H:15.80 | D: 0.01 | V: 65.51 | A0:15.38 | A1:15.35 | A2:15.43 | A3:15.39
2026-03-25 13:50:47 | MEDIANA | ABOLLADA  | H:11.70 | D:-0.04 | V: 67.90 | A0:10.57 | A1:10.67 | A2:10.83 | A3:10.54
2026-03-25 13:50:53 | CHICA   | ABOLLADA  | H: 2.80 | D:-0.56 | V: 47.96 | A0: 2.26 | A1: 2.23 | A2: 2.03 | A3: 1.71
2026-03-25 13:51:00 | GRANDE  | ABOLLADA  | H:16.10 | D: 0.05 | V: 48.61 | A0:15.34 | A1:15.54 | A2:15.51 | A3:15.39
2026-03-25 13:51:07 | MEDIANA | ABOLLADA  | H:11.00 | D:-0.17 | V: 65.07 | A0:10.71 | A1:10.62 | A2:10.65 | A3:10.54
2026-03-25 13:51:14 | CHICA   | ABOLLADA  | H: 2.70 | D:-0.62 | V: 49.71 | A0: 2.33 | A1: 2.16 | A2: 2.24 | A3: 1.71
