2026-03-25 13:51:46 | GRANDE  | ABOLLADA  | H:15.80 | D:-0.24 | V: 67.14 | A0:15.36 | A1:15.17 | A2:15.15 | A3:15.12
2026-03-25 13:51:53 | MEDIANA | ABOLLADA  | H:10.60 | D:-0.04 | V: 48.32 | A0:10.32 | A1:10.19 | A2:10.16 | A3:10.27
2026-03-25 13:52:00 | CHICA   | ABOLLADA  | H: 2.70 | D:-0.78 | V: 38.31 | A0: 2.28 | A1: 2.33 | A2: 1.84 | A3: 1.50
2026-03-25 13:52:07 | GRANDE  | ABOLLADA  | H:15.30 | D:-0.10 | V: 48.27 | A0:15.22 | A1:15.14 | A2:15.06 | A3:15.12
2026-03-25 13:52:14 | MEDIANA | ABOLLADA  | H:10.60 | D:-0.05 | V: 46.74 | A0:10.39 | A1:10.29 | A2:10.27 | A3:10.34
2026-03-25 13:52:21 | CHICA   | ABOLLADA  | H: 2.80 | D:-0.56 | V: 64.49 | A0: 2.26 | A1: 2.29 | A2: 1.84 | A3: 1.71
2026-03-25 13:52:32 | GRANDE  | ABOLLADA  | H:15.80 | D:-0.24 | V:111.11 | A0:15.36 | A1:15.17 | A2:15.15 | A3:15.12
2026-03-25 13:52:39 | MEDIANA | ABOLLADA  | H:10.60 | D:-0.04 | V: 49.38 | A0:10.32 | A1:10.19 | A2:10.16 | A3:10.27
2026-03-25 13:52:46 | CHICA   | ABOLLADA  | H: 2.70 | D:-0.78 | V: 46.88 | A0: 2.28 | A1: 2.33 | A2: 1.84 | A3: 1.50
2026-03-25 13:52:53 | GRANDE  | ABOLLADA  | H:15.30 | D:-0.10 | V: 42.58 | A0:15.22 | A1:15.14 | A2:15.06 | A3:15.12
2026-03-25 13:53:00 | MEDIANA | ABOLLADA  | H:10.60 | D:-0.05 | V: 48.51 | A0:10.39 | A1:10.29 | A2:10.27 | A3:10.34
2026-03-25 13:53:07 | CHICA   | ABOLLADA  | H: 2.80 | D:-0.56 | V: 66.67 | A0: 2.26 | A1: 2.29 | A2: 1.84 | A3: 1.71
2026-03-25 13:53:33 | GRANDE  | ABOLLADA  | H:15.30 | D:-0.02 | V: 64.86 | A0:15.15 | A1:15.06 | A2:15.01 | A3:15.13
2026-03-25 13:53:37 | MEDIANA | ABOLLADA  | H:10.80 | D:-0.26 | V: 47.36 | A0:10.47 | A1:10.09 | A2:10.13 | A3:10.21
2026-03-25 13:53:44 | GRANDE  | ABOLLADA  | H:15.60 | D: 0.12 | V: 54.39 | A0:15.10 | A1:15.15 | A2:15.17 | A3:15.22
2026-03-25 13:54:03 | CHICA   | ABOLLADA  | H: 2.60 | D:-0.87 | V: 53.93 | A0: 2.31 | A1: 2.06 | A2: 1.81 | A3: 1.44
