2026-03-25 14:26:14 | GRANDE  | ABOLLADA (DOMO)   | D:-0.69 | V: 51.21 | A0:15.99 | A1:15.61 | A2:15.48 | A3:15.30
2026-03-25 14:26:18 | MEDIANA | ABOLLADA (DOMO)   | D:-0.07 | V: 59.63 | A0:10.61 | A1:10.38 | A2:10.67 | A3:10.55
2026-03-25 14:26:22 | CHICA   | ABOLLADA (DOMO)   | D:-0.50 | V: 45.49 | A0: 2.22 | A1: 2.31 | A2: 2.08 | A3: 1.73
2026-03-25 14:26:26 | GRANDE  | ABOLLADA (DOMO)   | D: 0.36 | V: 69.74 | A0:14.84 | A1:15.12 | A2:15.14 | A3:15.20
2026-03-25 14:26:30 | MEDIANA | ABOLLADA (DOMO)   | D:-0.23 | V: 56.76 | A0:10.82 | A1:10.50 | A2:10.57 | A3:10.58
2026-03-25 14:26:34 | CHICA   | ABOLLADA (DOMO)   | D:-0.48 | V: 55.05 | A0: 2.26 | A1: 2.31 | A2: 2.05 | A3: 1.78
2026-03-25 14:26:39 | GRANDE  | ABOLLADA (DOMO)   | D:-0.09 | V: 64.66 | A0:15.49 | A1:15.30 | A2:15.37 | A3:15.40
2026-03-25 14:26:43 | CHICA   | ABOLLADA (DOMO)   | D:-0.58 | V: 16.35 | A0: 2.26 | A1: 2.04 | A2: 1.91 | A3: 1.68
2026-03-25 14:27:08 | GRANDE  | ABOLLADA (DOMO)   | D:-0.17 | V: 67.80 | A0:15.24 | A1:15.06 | A2:15.01 | A3:15.07
2026-03-25 14:27:12 | MEDIANA | ABOLLADA (DOMO)   | D:-0.50 | V: 46.74 | A0:10.77 | A1:10.21 | A2:10.11 | A3:10.27
2026-03-25 14:27:19 | GRANDE  | ABOLLADA (DOMO)   | D: 0.20 | V: 60.75 | A0:15.01 | A1:15.14 | A2:15.14 | A3:15.21
2026-03-25 14:27:38 | CHICA   | ABOLLADA (DOMO)   | D:-0.89 | V: 58.28 | A0: 2.40 | A1: 2.18 | A2: 1.81 | A3: 1.51
2026-03-25 14:27:48 | GRANDE  | ABOLLADA (DOMO)   | D:-0.17 | V: 53.17 | A0:15.24 | A1:15.06 | A2:15.01 | A3:15.07
2026-03-25 14:27:51 | MEDIANA | ABOLLADA (DOMO)   | D:-0.50 | V: 50.16 | A0:10.77 | A1:10.21 | A2:10.11 | A3:10.27
2026-03-25 14:27:58 | GRANDE  | ABOLLADA (DOMO)   | D: 0.20 | V: 64.61 | A0:15.01 | A1:15.14 | A2:15.14 | A3:15.21
