2026-03-25 12:00:00 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 3e+01 | Delta: 0.9 | Ratio: 0.980 | Score: 0.090
2026-03-25 12:00:07 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.8 | Ratio: 0.994 | Score: 0.034
2026-03-25 12:00:14 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.8 | Ratio: 0.964 | Score: 0.021
2026-03-25 12:00:21 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 2e+01 | Delta: 1e+00 | Ratio: 0.984 | Score: 0.089
2026-03-25 12:00:28 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+00 | Ratio: 0.982 | Score: 0.051
2026-03-25 12:00:35 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.8 | Ratio: 0.991 | Score: 0.078
2026-03-25 12:00:42 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.2 | Ratio: 0.997 | Score: 0.080
2026-03-25 12:00:49 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.5 | Ratio: 0.964 | Score: 0.059
2026-03-25 12:00:56 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.7 | Ratio: 0.990 | Score: 0.055
2026-03-25 12:01:03 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 2e+01 | Delta: 0.8 | Ratio: 0.970 | Score: 0.077
2026-03-25 12:01:10 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 0.2 | Ratio: 0.974 | Score: 0.035
2026-03-25 12:01:17 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 1e+00 | Ratio: 0.975 | Score: 0.064
2026-03-25 12:01:24 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 2e+01 | Delta: 0.7 | Ratio: 0.990 | Score: 0.080
