2026-03-25 10:10:09 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 168.0mm | Borde: 152.4mm | Centro: 159.0mm | Delta: 6.6mm | Ratio: 0.907 | Score: 0.378
2026-03-25 10:10:16 | Clase: MEDIANA | Estado: DUDA | H_Max: 113.0mm | Borde: 105.0mm | Centro: 104.0mm | Delta: 1.0mm | Ratio: 0.930 | Score: 0.088
2026-03-25 10:10:23 | Clase: CHICA | Estado: ABOLLADA | H_Max: 26.0mm | Borde: 20.3mm | Centro: 20.4mm | Delta: 0.1mm | Ratio: 0.780 | Score: 0.117
2026-03-25 10:10:29 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 159.0mm | Borde: 152.3mm | Centro: 156.4mm | Delta: 4.1mm | Ratio: 0.958 | Score: 0.226
2026-03-25 10:10:36 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 114.0mm | Borde: 104.5mm | Centro: 108.5mm | Delta: 4.0mm | Ratio: 0.917 | Score: 0.242
2026-03-25 10:10:43 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 22.2mm | Centro: 21.6mm | Delta: 0.6mm | Ratio: 0.792 | Score: 0.135
2026-03-25 10:10:49 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 165.0mm | Borde: 152.6mm | Centro: 159.9mm | Delta: 7.3mm | Ratio: 0.925 | Score: 0.403
2026-03-25 10:11:04 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 20.0mm | Centro: 23.0mm | Delta: 3.0mm | Ratio: 0.714 | Score: 0.293
2026-03-25 10:11:38 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 165.0mm | Borde: 151.1mm | Centro: 156.0mm | Delta: 4.9mm | Ratio: 0.916 | Score: 0.286
2026-03-25 10:11:42 | Clase: MEDIANA | Estado: DUDA | H_Max: 114.0mm | Borde: 103.8mm | Centro: 105.0mm | Delta: 1.2mm | Ratio: 0.910 | Score: 0.107
2026-03-25 10:11:46 | Clase: CHICA | Estado: ABOLLADA | H_Max: 26.0mm | Borde: 19.6mm | Centro: 22.4mm | Delta: 2.7mm | Ratio: 0.755 | Score: 0.259
2026-03-25 10:11:50 | Clase: GRANDE | Estado: DUDA | H_Max: 157.0mm | Borde: 151.5mm | Centro: 149.0mm | Delta: 2.5mm | Ratio: 0.965 | Score: 0.144
2026-03-25 10:11:58 | Clase: CHICA | Estado: ABOLLADA | H_Max: 31.0mm | Borde: 23.4mm | Centro: 21.0mm | Delta: 2.4mm | Ratio: 0.755 | Score: 0.243
2026-03-25 10:12:02 | Clase: GRANDE | Estado: DUDA | H_Max: 161.0mm | Borde: 152.4mm | Centro: 151.6mm | Delta: 0.8mm | Ratio: 0.947 | Score: 0.065
2026-03-25 10:12:07 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 21.2mm | Centro: 22.0mm | Delta: 0.8mm | Ratio: 0.759 | Score: 0.158
2026-03-25 12:18:11 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 165.0mm | Borde: 151.1mm | Centro: 156.0mm | Delta: 4.9mm | Ratio: 0.916 | Score: 0.286
2026-03-25 12:18:14 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 114.0mm | Borde: 103.8mm | Centro: 105.0mm | Delta: 1.2mm | Ratio: 0.910 | Score: 0.107
2026-03-25 12:18:18 | Clase: CHICA | Estado: DUDA | H_Max: 26.0mm | Borde: 19.6mm | Centro: 22.4mm | Delta: 2.7mm | Ratio: 0.755 | Score: 0.259
2026-03-25 12:18:22 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 157.0mm | Borde: 151.5mm | Centro: 149.0mm | Delta: 2.5mm | Ratio: 0.965 | Score: 0.144
2026-03-25 12:18:31 | Clase: CHICA | Estado: DUDA | H_Max: 31.0mm | Borde: 23.4mm | Centro: 21.0mm | Delta: 2.4mm | Ratio: 0.755 | Score: 0.243
2026-03-25 12:18:35 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 161.0mm | Borde: 152.4mm | Centro: 151.6mm | Delta: 0.8mm | Ratio: 0.947 | Score: 0.065
2026-03-25 12:18:39 | Clase: CHICA | Estado: DUDA | H_Max: 28.0mm | Borde: 21.2mm | Centro: 22.0mm | Delta: 0.8mm | Ratio: 0.759 | Score: 0.158
2026-03-25 12:19:28 | Clase: GRANDE | Estado: NORMAL | H_Max: 153.0mm | Borde: 152.3mm | Centro: 150.0mm | Delta: 2.3mm | Ratio: 0.995 | Score: 0.117
2026-03-25 12:19:36 | Clase: CHICA | Estado: ABOLLADA | H_Max: 28.0mm | Borde: 20.0mm | Centro: 21.0mm | Delta: 1.0mm | Ratio: 0.714 | Score: 0.193
2026-03-25 12:19:39 | Clase: GRANDE | Estado: NORMAL | H_Max: 153.0mm | Borde: 151.7mm | Centro: 150.0mm | Delta: 1.7mm | Ratio: 0.991 | Score: 0.088
2026-03-25 12:19:42 | Clase: MEDIANA | Estado: DUDA | H_Max: 106.0mm | Borde: 101.4mm | Centro: 104.5mm | Delta: 3.1mm | Ratio: 0.957 | Score: 0.175
2026-03-25 12:19:46 | Clase: CHICA | Estado: ABOLLADA | H_Max: 25.0mm | Borde: 18.0mm | Centro: 24.4mm | Delta: 6.4mm | Ratio: 0.720 | Score: 0.459
2026-03-25 12:19:50 | Clase: GRANDE | Estado: NORMAL | H_Max: 153.0mm | Borde: 151.6mm | Centro: 152.0mm | Delta: 0.4mm | Ratio: 0.991 | Score: 0.023
2026-03-25 12:19:53 | Clase: MEDIANA | Estado: NORMAL | H_Max: 107.0mm | Borde: 102.5mm | Centro: 103.0mm | Delta: 0.5mm | Ratio: 0.958 | Score: 0.047
2026-03-25 12:19:58 | Clase: CHICA | Estado: NORMAL | H_Max: 28.0mm | Borde: 22.7mm | Centro: 24.0mm | Delta: 1.3mm | Ratio: 0.811 | Score: 0.160
2026-03-25 12:20:34 | Clase: GRANDE | Estado: DUDA | H_Max: 154.0mm | Borde: 150.8mm | Centro: 154.0mm | Delta: 3.2mm | Ratio: 0.979 | Score: 0.170
2026-03-25 12:20:37 | Clase: GRANDE | Estado: NORMAL | H_Max: 154.0mm | Borde: 152.3mm | Centro: 154.0mm | Delta: 1.7mm | Ratio: 0.989 | Score: 0.091
2026-03-25 12:20:41 | Clase: MEDIANA | Estado: DUDA | H_Max: 107.0mm | Borde: 102.6mm | Centro: 106.0mm | Delta: 3.4mm | Ratio: 0.959 | Score: 0.192
2026-03-25 12:20:45 | Clase: CHICA | Estado: DUDA | H_Max: 30.0mm | Borde: 23.4mm | Centro: 22.5mm | Delta: 0.9mm | Ratio: 0.780 | Score: 0.155
2026-03-25 12:20:49 | Clase: CHICA | Estado: DUDA | H_Max: 28.0mm | Borde: 20.4mm | Centro: 23.4mm | Delta: 2.9mm | Ratio: 0.730 | Score: 0.283
2026-03-25 12:20:52 | Clase: GRANDE | Estado: ERROR_SENSOR | H_Max: 154.0mm | Borde: 152.1mm | Centro: 0.0mm | Delta: 152.1mm | Ratio: 0.988 | Score: 0.000
2026-03-25 12:20:57 | Clase: MEDIANA | Estado: DUDA | H_Max: 107.0mm | Borde: 101.4mm | Centro: 102.0mm | Delta: 0.6mm | Ratio: 0.948 | Score: 0.056
2026-03-25 12:21:01 | Clase: MEDIANA | Estado: NORMAL | H_Max: 108.0mm | Borde: 103.6mm | Centro: 105.0mm | Delta: 1.4mm | Ratio: 0.960 | Score: 0.088
2026-03-25 12:21:05 | Clase: CHICA | Estado: DUDA | H_Max: 31.0mm | Borde: 23.8mm | Centro: 20.3mm | Delta: 3.5mm | Ratio: 0.768 | Score: 0.293
2026-03-25 12:21:34 | Clase: GRANDE | Estado: DUDA | H_Max: 155.0mm | Borde: 151.3mm | Centro: 155.4mm | Delta: 4.1mm | Ratio: 0.976 | Score: 0.217
2026-03-25 12:21:41 | Clase: GRANDE | Estado: DUDA | H_Max: 156.0mm | Borde: 152.7mm | Centro: 151.0mm | Delta: 1.7mm | Ratio: 0.979 | Score: 0.096
2026-03-25 12:21:48 | Clase: CHICA | Estado: DUDA | H_Max: 25.0mm | Borde: 20.4mm | Centro: 23.0mm | Delta: 2.6mm | Ratio: 0.817 | Score: 0.220
