2026-03-25 08:55:06 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 15.40cm | Borde: 9.46cm | Centro: 15.00cm | Diff: -5.54cm | Err: 6.54cm
2026-03-25 08:55:10 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 10.80cm | Borde: 10.12cm | Centro: 10.61cm | Diff: -0.49cm | Err: 1.49cm
2026-03-25 08:55:14 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3.30cm | Borde: 1.21cm | Centro: 2.14cm | Diff: -0.93cm | Err: 1.43cm
2026-03-25 08:55:17 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 15.40cm | Borde: 15.08cm | Centro: 15.02cm | Diff: 0.06cm | Err: 0.94cm
2026-03-25 08:55:21 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 10.70cm | Borde: 10.27cm | Centro: 10.35cm | Diff: -0.08cm | Err: 1.08cm
2026-03-25 08:55:25 | Clase: CHICA | Estado: ABOLLADA | H_Max: 2.60cm | Borde: 1.29cm | Centro: 2.45cm | Diff: -1.16cm | Err: 1.66cm
2026-03-25 08:55:28 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 15.40cm | Borde: 10.33cm | Centro: 10.15cm | Diff: 0.19cm | Err: 0.81cm
2026-03-25 08:55:32 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 10.80cm | Borde: 10.26cm | Centro: 10.30cm | Diff: -0.04cm | Err: 1.04cm
2026-03-25 08:55:36 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3.09cm | Borde: 1.12cm | Centro: 2.40cm | Diff: -1.28cm | Err: 1.78cm
2026-03-25 08:55:46 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 15.40cm | Borde: 9.46cm | Centro: 15.00cm | Diff: -5.54cm | Err: 6.54cm
2026-03-25 08:55:50 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 10.80cm | Borde: 10.12cm | Centro: 10.61cm | Diff: -0.49cm | Err: 1.49cm
2026-03-25 08:55:53 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3.30cm | Borde: 1.21cm | Centro: 2.14cm | Diff: -0.93cm | Err: 1.43cm
2026-03-25 08:55:57 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 15.40cm | Borde: 15.08cm | Centro: 15.02cm | Diff: 0.06cm | Err: 0.94cm
2026-03-25 08:56:00 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 10.70cm | Borde: 10.27cm | Centro: 10.35cm | Diff: -0.08cm | Err: 1.08cm
2026-03-25 08:56:04 | Clase: CHICA | Estado: ABOLLADA | H_Max: 2.60cm | Borde: 1.29cm | Centro: 2.45cm | Diff: -1.16cm | Err: 1.66cm
2026-03-25 08:56:08 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 15.40cm | Borde: 10.33cm | Centro: 10.15cm | Diff: 0.19cm | Err: 0.81cm
2026-03-25 08:56:11 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 10.80cm | Borde: 10.26cm | Centro: 10.30cm | Diff: -0.04cm | Err: 1.04cm
2026-03-25 08:56:15 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3.09cm | Borde: 1.12cm | Centro: 2.40cm | Diff: -1.28cm | Err: 1.78cm
