2026-03-25 09:08:11.304830 | GRANDE | ABOLLADA | Borde:8.09 | Centro:16.00 | Diff:-7.91
2026-03-25 09:08:15.050257 | MEDIANA | ABOLLADA | Borde:5.57 | Centro:10.51 | Diff:-4.94
2026-03-25 09:08:19.065081 | CHICA | ABOLLADA | Borde:0.96 | Centro:2.24 | Diff:-1.28
2026-03-25 09:08:22.788110 | GRANDE | ABOLLADA | Borde:8.06 | Centro:14.93 | Diff:-6.87
2026-03-25 09:08:26.916963 | MEDIANA | ABOLLADA | Borde:5.14 | Centro:10.61 | Diff:-5.47
2026-03-25 09:08:31.398722 | CHICA | ABOLLADA | Borde:0.92 | Centro:2.10 | Diff:-1.18
2026-03-25 09:08:35.536447 | GRANDE | ABOLLADA | Borde:8.80 | Centro:15.15 | Diff:-6.35
2026-03-25 09:08:39.799677 | CHICA | ABOLLADA | Borde:1.07 | Centro:2.23 | Diff:-1.15
2026-03-25 09:08:51.093026 | GRANDE | ABOLLADA | Borde:8.09 | Centro:16.00 | Diff:-7.91
2026-03-25 09:08:54.826047 | MEDIANA | ABOLLADA | Borde:5.57 | Centro:10.51 | Diff:-4.94
2026-03-25 09:08:58.821028 | CHICA | ABOLLADA | Borde:0.96 | Centro:2.24 | Diff:-1.28
2026-03-25 09:09:02.553055 | GRANDE | ABOLLADA | Borde:8.06 | Centro:14.93 | Diff:-6.87
2026-03-25 09:09:06.690967 | MEDIANA | ABOLLADA | Borde:5.14 | Centro:10.61 | Diff:-5.47
2026-03-25 09:09:11.165253 | CHICA | ABOLLADA | Borde:0.92 | Centro:2.10 | Diff:-1.18
2026-03-25 09:09:15.296026 | GRANDE | ABOLLADA | Borde:8.80 | Centro:15.15 | Diff:-6.35
2026-03-25 09:09:19.579180 | CHICA | ABOLLADA | Borde:1.07 | Centro:2.23 | Diff:-1.15
