ID     | HORA       | FORMA        | BORDE        | PROM_CIRC  | PROM_STD  
--------------------------------------------------------------------------------
1      | 11:25:41   | ABOLLADA     | OK           | 0.476      | 0.634     
2      | 11:25:45   | OK           | OK           | 0.532      | 0.350     
3      | 11:25:48   | OK           | IRREGULAR    | 0.562      | 0.613     
5      | 11:25:53   | OK           | IRREGULAR    | 0.490      | 1.263     
6      | 11:25:57   | OK           | OK           | 0.550      | 0.149     
7      | 11:26:00   | OK           | IRREGULAR    | 0.591      | 0.617     
8      | 11:26:05   | OK           | OK           | 0.493      | 0.159     
9      | 11:26:09   | OK           | IRREGULAR    | 0.552      | 0.652     
1      | 11:27:04   | ABOLLADA     | OK           | 0.476      | 0.634     
2      | 11:27:08   | OK           | OK           | 0.532      | 0.350     
3      | 11:27:10   | OK           | IRREGULAR    | 0.562      | 0.613     
5      | 11:27:15   | ABOLLADA     | IRREGULAR    | 0.490      | 1.263     
6      | 11:27:19   | OK           | OK           | 0.550      | 0.149     
7      | 11:27:23   | OK           | IRREGULAR    | 0.591      | 0.617     
8      | 11:27:28   | ABOLLADA     | OK           | 0.493      | 0.159     
9      | 11:27:31   | OK           | IRREGULAR    | 0.552      | 0.652     
1      | 11:29:21   | ABOLLADA     | IRREGULAR    | 0.527      | 0.801     
2      | 11:29:24   | ABOLLADA     | IRREGULAR    | 0.524      | 0.474     
3      | 11:29:28   | ABOLLADA     | IRREGULAR    | 0.472      | 0.723     
4      | 11:29:32   | OK           | IRREGULAR    | 0.575      | 1.573     
5      | 11:29:36   | OK           | OK           | 0.601      | 0.231     
6      | 11:29:41   | ABOLLADA     | IRREGULAR    | 0.514      | 0.815     
7      | 11:29:45   | ABOLLADA     | OK           | 0.520      | 0.295     
8      | 11:29:49   | ABOLLADA     | IRREGULAR    | 0.471      | 0.844     
9      | 11:30:00   | ABOLLADA     | IRREGULAR    | 0.527      | 0.801     
10     | 11:30:04   | ABOLLADA     | IRREGULAR    | 0.524      | 0.474     
11     | 11:30:08   | ABOLLADA     | IRREGULAR    | 0.472      | 0.723     
