2026-03-25 09:05:28.366830 | GRANDE | ABOLLADA | Borde:8.03 | Centro:15.00 | Diff:-6.97
2026-03-25 09:05:32.208014 | MEDIANA | ABOLLADA | Borde:4.62 | Centro:10.61 | Diff:-5.99
2026-03-25 09:05:35.884860 | CHICA | ABOLLADA | Borde:1.06 | Centro:2.14 | Diff:-1.08
2026-03-25 09:05:39.353099 | GRANDE | ABOLLADA | Borde:7.88 | Centro:15.02 | Diff:-7.13
2026-03-25 09:05:42.694748 | MEDIANA | ABOLLADA | Borde:5.69 | Centro:10.35 | Diff:-4.66
2026-03-25 09:05:46.482634 | CHICA | ABOLLADA | Borde:0.91 | Centro:2.45 | Diff:-1.55
2026-03-25 09:05:50.097972 | GRANDE | ABOLLADA | Borde:7.69 | Centro:10.14 | Diff:-2.45
2026-03-25 09:05:53.629537 | MEDIANA | ABOLLADA | Borde:5.37 | Centro:10.30 | Diff:-4.93
2026-03-25 09:05:57.841798 | CHICA | ABOLLADA | Borde:1.10 | Centro:2.40 | Diff:-1.30
2026-03-25 09:06:07.651521 | GRANDE | ABOLLADA | Borde:8.03 | Centro:15.00 | Diff:-6.97
2026-03-25 09:06:11.497517 | MEDIANA | ABOLLADA | Borde:4.62 | Centro:10.61 | Diff:-5.99
2026-03-25 09:06:15.169197 | CHICA | ABOLLADA | Borde:1.06 | Centro:2.14 | Diff:-1.08
2026-03-25 09:06:18.645505 | GRANDE | ABOLLADA | Borde:7.88 | Centro:15.02 | Diff:-7.13
2026-03-25 09:06:21.979208 | MEDIANA | ABOLLADA | Borde:5.69 | Centro:10.35 | Diff:-4.66
2026-03-25 09:06:25.797105 | CHICA | ABOLLADA | Borde:0.91 | Centro:2.45 | Diff:-1.55
2026-03-25 09:06:29.388310 | GRANDE | ABOLLADA | Borde:7.69 | Centro:10.14 | Diff:-2.45
2026-03-25 09:06:32.925042 | MEDIANA | ABOLLADA | Borde:5.37 | Centro:10.30 | Diff:-4.93
2026-03-25 09:06:37.117089 | CHICA | ABOLLADA | Borde:1.10 | Centro:2.40 | Diff:-1.30
2026-03-25 09:06:46.954941 | GRANDE | ABOLLADA | Borde:8.03 | Centro:15.00 | Diff:-6.97
2026-03-25 09:06:50.814404 | MEDIANA | ABOLLADA | Borde:4.62 | Centro:10.61 | Diff:-5.99
2026-03-25 09:06:54.491334 | CHICA | ABOLLADA | Borde:1.06 | Centro:2.14 | Diff:-1.08
2026-03-25 09:06:57.948672 | GRANDE | ABOLLADA | Borde:7.88 | Centro:15.02 | Diff:-7.13
2026-03-25 09:07:01.295826 | MEDIANA | ABOLLADA | Borde:5.69 | Centro:10.35 | Diff:-4.66
2026-03-25 09:07:05.089090 | CHICA | ABOLLADA | Borde:0.91 | Centro:2.45 | Diff:-1.55
2026-03-25 09:07:08.686035 | GRANDE | ABOLLADA | Borde:7.69 | Centro:10.14 | Diff:-2.45
2026-03-25 09:07:12.236322 | MEDIANA | ABOLLADA | Borde:5.37 | Centro:10.30 | Diff:-4.93
2026-03-25 09:07:16.442855 | CHICA | ABOLLADA | Borde:1.10 | Centro:2.40 | Diff:-1.30
