ID    | HORA       | TAMAÑO     | ALTURA   | ESTADO     | CIRC  
----------------------------------------------------------------------
1     | 12:13:14   | GRANDE     | 12.62    | OK         | 0.53  
2     | 12:13:21   | MEDIANA    | 9.15     | OK         | 0.57  
3     | 12:13:28   | CHICA      | 1.37     | OK         | 0.49  
4     | 12:13:35   | GRANDE     | 12.78    | OK         | 0.52  
5     | 12:13:42   | MEDIANA    | 9.48     | OK         | 0.57  
6     | 12:13:48   | CHICA      | 1.45     | OK         | 0.50  
7     | 12:13:55   | GRANDE     | 12.78    | OK         | 0.50  
1     | 14:15:39   | GRANDE     | 12.62    | OK         | 0.53  
1     | 14:40:03   | GRANDE     | 12.62    | OK         | 0.53  
